FID,id,geom,stembureau,naam,adres,postcode,plaats
stembureau.1,1,"POLYGON ((112454.89 499711.195, 112449.871 499715.886000002, 112449.809 499715.821000002, 112445.134 499720.193000004, 112445.197 499720.257000001, 112444.604 499720.811000001, 112444.543 499720.745000002, 112439.869 499725.117000001, 112439.929 499725.183, 112439.339 499725.735000002, 112439.277 499725.669000002, 112434.601 499730.041000002, 112434.664 499730.107000001, 112434.072 499730.659000001, 112434.01 499730.594000002, 112429.335 499734.966000003, 112429.398 499735.031, 112428.805 499735.585000003, 112428.744 499735.518000003, 112424.07 499739.890000002, 112424.13 499739.956000002, 112423.539 499740.509000002, 112423.478 499740.443000003, 112418.803 499744.814000001, 112418.865 499744.879999999, 112418.368 499745.344000002, 112418.307 499745.278000002, 112416.137 499747.306, 112416.198 499747.373000001, 112413.214 499750.163, 112418.115 499755.402000002, 112416.436 499756.973000003, 112422.077 499763.003999999, 112423.756 499761.433000002, 112425.508 499763.280000003, 112426.667 499762.191000002, 112429.273 499764.999999999, 112426.039 499768.016000002, 112426.231 499768.220999999, 112426.706 499767.777, 112431.282 499772.684000002, 112430.807 499773.128000002, 112430.998 499773.332000003, 112434.231 499770.318000001, 112436.869 499773.148, 112423.888 499785.275000003, 112438.108 499800.512000003, 112451.996 499787.529999997, 112449.96 499785.353000002, 112452.188 499783.270000002, 112452.127 499783.204000004, 112453.918 499781.531000001, 112457.062 499784.885000001, 112457.296 499784.666000001, 112454.15 499781.312999999, 112457.614 499778.094, 112457.683 499778.168000001, 112458.873 499777.053999999, 112458.933 499777.119000001, 112463.6 499772.755, 112463.539 499772.689, 112464.13 499772.135000001, 112464.191 499772.201000002, 112468.858 499767.836000003, 112468.797 499767.770000001, 112469.388 499767.217, 112469.449 499767.282000001, 112474.116 499762.917000001, 112474.054 499762.851000001, 112474.646 499762.298000001, 112474.707 499762.364000002, 112479.381 499757.990000002, 112479.32 499757.925000001, 112479.809 499757.467000001, 112479.871 499757.533000002, 112482.047 499755.498, 112481.986 499755.431, 112489.598 499748.311000001, 112493.833 499744.348999999, 112496.375 499741.971000001, 112494.94 499740.436, 112492.774 499738.121000002, 112489.885 499735.032, 112487.782 499732.782000003, 112486.573 499731.489000001, 112483.431 499728.129000001, 112481.655 499726.23, 112478.513 499722.870000001, 112476.737 499720.972000001, 112473.596 499717.611999999, 112470.212 499713.994, 112468.108 499711.744000001, 112465.254 499708.691000003, 112463.102 499706.390000002, 112461.668 499704.857, 112459.112 499707.246999999, 112454.89 499711.195), (112448.615 499758.302, 112442.214 499751.456000001, 112438.46 499754.967000003, 112436.554 499752.930000004, 112438.758 499750.869000003, 112438.983 499751.110000003, 112439.209 499750.898000002, 112438.984 499750.656999999, 112440.065 499749.646, 112440.29 499749.887, 112440.517 499749.675000002, 112440.292 499749.434000002, 112441.402 499748.396, 112441.626 499748.636000001, 112441.853 499748.425, 112441.627 499748.183999999, 112442.731 499747.152000002, 112442.956 499747.393000001, 112443.182 499747.181000002, 112442.957 499746.940000001, 112444.023 499745.943000002, 112444.248 499746.184, 112444.475 499745.972000001, 112444.25 499745.732000002, 112445.323 499744.728000001, 112445.547 499744.968000002, 112445.774 499744.756000001, 112445.549 499744.515000002, 112446.652 499743.484, 112446.877 499743.725, 112447.103 499743.513000003, 112446.877 499743.271999999, 112447.907 499742.309000001, 112448.133 499742.549, 112448.36 499742.337000002, 112448.134 499742.097, 112449.201 499741.099000001, 112449.426 499741.34, 112449.652 499741.129, 112449.426 499740.887000001, 112450.507 499739.877000001, 112450.732 499740.118000002, 112450.96 499739.906000001, 112450.733 499739.664, 112451.822 499738.645999998, 112452.047 499738.887000003, 112452.274 499738.677000002, 112452.047 499738.435, 112453.144 499737.411, 112453.369 499737.652000001, 112453.596 499737.440000003, 112453.369 499737.199000001, 112454.457 499736.180000002, 112454.683 499736.422000002, 112454.91 499736.210000001, 112454.684 499735.967999999, 112455.765 499734.957000001, 112455.99 499735.199000001, 112456.217 499734.986999999, 112455.991 499734.745000001, 112457.093 499733.715, 112457.32 499733.956000002, 112457.546 499733.744000003, 112457.32 499733.503, 112458.422 499732.471000002, 112458.649 499732.712, 112458.875 499732.500000003, 112458.649 499732.260000001, 112459.73 499731.248000001, 112459.956 499731.489000003, 112460.182 499731.276999999, 112459.957 499731.037, 112462.323 499728.822000001, 112463.621 499730.212000001, 112463.365 499730.451000001, 112463.576 499730.676999999, 112463.831 499730.438000002, 112464.842 499731.520000002, 112464.587 499731.759000001, 112464.797 499731.983999999, 112465.053 499731.745, 112466.071 499732.834999999, 112465.816 499733.074000004, 112466.027 499733.300000001, 112466.282 499733.061000002, 112467.3 499734.15, 112467.044 499734.389000003, 112467.255 499734.615000002, 112467.511 499734.376000001, 112468.529 499735.466000003, 112468.273 499735.704000003, 112468.484 499735.93, 112468.74 499735.691000001, 112469.758 499736.781000001, 112469.502 499737.02, 112469.713 499737.246000001, 112469.97 499737.005999999, 112470.98 499738.088000002, 112470.724 499738.327000003, 112470.949 499738.568999998, 112471.206 499738.329000001, 112472.543 499739.761, 112470.134 499742.015999999, 112469.909 499741.775000002, 112469.683 499741.987, 112469.907 499742.228000001, 112468.835 499743.232000001, 112468.608 499742.990000001, 112468.383 499743.202, 112468.607 499743.444000001, 112467.498 499744.481999999, 112467.273 499744.239999998, 112467.047 499744.452000001, 112467.271 499744.694, 112466.176 499745.718000001, 112465.951 499745.478000001, 112465.725 499745.690000001, 112465.949 499745.930000002, 112464.869 499746.941000002, 112464.644 499746.701, 112464.418 499746.913000001, 112464.642 499747.153, 112463.577 499748.151, 112463.351 499747.909000002, 112463.124 499748.121000001, 112463.35 499748.362, 112462.255 499749.387, 112462.029 499749.146000001, 112461.803 499749.358, 112462.028 499749.599, 112460.926 499750.63, 112460.701 499750.390000001, 112460.474 499750.602, 112460.699 499750.841999999, 112459.626 499751.847000001, 112459.4 499751.605999999, 112459.174 499751.818000001, 112459.399 499752.059000002, 112458.334 499753.056000001, 112458.108 499752.815000002, 112457.881 499753.027000002, 112458.107 499753.267000001, 112457.012 499754.293000002, 112456.786 499754.052000001, 112456.559 499754.264000001, 112456.785 499754.505000002, 112455.691 499755.530000001, 112455.464 499755.288, 112455.239 499755.5, 112455.464 499755.742000001, 112454.383 499756.753000002, 112454.157 499756.510999997, 112453.932 499756.722000001, 112454.157 499756.963, 112453.091 499757.962000002, 112452.865 499757.721000001, 112452.638 499757.933000002, 112452.865 499758.173, 112451.755 499759.212, 112451.528 499758.971000002, 112451.303 499759.183, 112451.528 499759.423000001, 112450.426 499760.456000002, 112450.199 499760.215000002, 112449.974 499760.424999999, 112450.198 499760.667000001, 112449.111 499761.684000001, 112448.885 499761.444, 112448.659 499761.656000001, 112448.884 499761.896000002, 112446.782 499763.864000003, 112444.862 499761.811000001, 112448.615 499758.302))",606,School Ayundo,Blauwe Ring 91,1566 MX,Assendelft
stembureau.2,2,"POLYGON ((117258.847 493522.478000002, 117230.38 493530.070000001, 117232.23 493537.25, 117237.05 493555.62, 117234.97 493556.18, 117235.63 493558.660000003, 117246.675 493565.811000001, 117251.891 493556.814, 117252.699 493556.624000001, 117247.56 493536.8, 117259.28 493533.690000003, 117258.42 493530.440000001, 117260.77 493529.839999999, 117258.847 493522.478000002))",123,Speeltuinver. Het Havenkwartier,Havenstraat 71,1506 PK,Zaandam
stembureau.3,3,"POLYGON ((117769.242 498113.107999999, 117769.34 498113.127000003, 117769.1 498114.396000003, 117761.741 498113.003000002, 117758.412 498130.469000001, 117768.5 498132.337000003, 117769.554 498126.663999999, 117777.147 498128.114999999, 117777.653 498125.456, 117784.588 498126.773000001, 117784.081 498129.435000001, 117791.879 498130.921000001, 117792.384 498128.266, 117796.253 498129.013000002, 117795.988 498130.48, 117799.683 498131.159000002, 117798.192 498138.969000002, 117805.987 498140.447, 117806.56 498137.366000001, 117813.928 498138.776000002, 117814.065 498138.084000002, 117817.314 498138.726000003, 117817.192 498139.400000003, 117824.985 498140.875000003, 117826.569 498132.468000001, 117825.899 498132.338000001, 117826.405 498129.704000002, 117827.682 498129.956, 117830.58 498114.788000002, 117829.512 498114.576999999, 117830.304 498110.375999999, 117829.653 498110.261000003, 117830.181 498107.526000002, 117830.82 498107.639, 117832.221 498100.284000002, 117833.298 498100.471000003, 117836.147 498085.555000005, 117845.4 498087.320000002, 117848.766 498069.850999999, 117838.658 498067.923000001, 117837.478 498074.111, 117829.885 498072.667, 117829.753 498073.319000002, 117826.496 498072.695000003, 117826.623 498072.049000001, 117819.256 498070.636000001, 117819.832 498067.572999997, 117812.051 498066.092, 117810.57 498073.881000003, 117806.88 498073.185000002, 117806.599 498074.650999999, 117802.729 498073.914, 117803.236 498071.252000001, 117795.443 498069.767000002, 117794.931 498072.435000001, 117787.987 498071.119000003, 117788.506 498068.446000001, 117780.711 498066.933000004, 117780.193 498069.603000002, 117773.23 498068.320999999, 117773.495 498066.855, 117774.261 498067.002000002, 117777.171 498051.838999999, 117765.964 498049.688000001, 117766.699 498045.850000001, 117758.914 498044.370000001, 117757.184 498053.474, 117759.689 498053.964000001, 117758.768 498058.610000001, 117757.582 498058.391, 117756.518 498063.817, 117750.803 498062.717000001, 117748.944 498072.508999999, 117760.794 498074.761000002, 117760.07 498078.441000003, 117768.467 498080.044, 117768.753 498078.634000003, 117775.532 498079.944000002, 117774.153 498087.311000001, 117779.207 498088.272000002, 117775.783 498106.278000003, 117770.719 498105.309000001, 117769.242 498113.107999999), (117809.118 498082.560000002, 117816.431 498083.803000001, 117814.311 498096.304, 117806.998 498095.061000002, 117809.118 498082.560000002), (117793.232 498083.674, 117800.193 498084.922000003, 117798.703 498093.234999999, 117791.743 498091.987000001, 117793.232 498083.674), (117788.839 498107.664, 117795.563 498108.875000002, 117794.079 498117.119000001, 117787.355 498115.909000001, 117788.839 498107.664), (117804.106 498110.229, 117811.242 498111.605000002, 117808.814 498124.199000001, 117801.678 498122.823000002, 117804.106 498110.229))",122,School De Jagersplas,Brasemermeer 23 B,1509 GE,Zaandam
stembureau.4,4,"POLYGON ((113438.878 495844.78, 113435.83 495844.390000004, 113435.631 495846.005000001, 113433.213 495845.699000002, 113430.457 495867.458000001, 113430.721 495867.491000002, 113430.809 495866.800999999, 113448.717 495869.069000001, 113449.074 495866.246000002, 113452.543 495866.685000004, 113452.436 495867.525000002, 113458.206 495868.255000001, 113458.644 495864.795000001, 113462.113 495865.234000002, 113464.318 495847.823999999, 113446.412 495845.557000003, 113446.688 495843.376000001, 113439.176 495842.425000001, 113438.878 495844.78))",701,Dorpshuis De Kwaker,J.J. Allanstraat 127,1551 RC,Westzaan
stembureau.5,5,"POLYGON ((112336.752 500780.869000002, 112324.063 500791.163999999, 112329.313 500797.615999999, 112332.228 500795.245000002, 112344.593 500810.213000002, 112361.22 500796.478000003, 112345.458 500777.398999999, 112338.489 500782.988000001, 112336.752 500780.869000002))",605,Gymzaal De Springplank,Saenredamstraat 34,1566 KL,Assendelft
stembureau.6,6,"POLYGON ((115982.773 498657.588, 115983.337 498655.566000002, 115985.565 498647.574, 115947.786 498637.041000005, 115949.92 498629.386000003, 115950.591 498626.979000003, 115953.548 498616.373000001, 115954.219 498613.966000004, 115954.528 498612.859000003, 115956.69 498613.463000003, 115958.96 498605.320000002, 115941.808 498600.538000003, 115939.538 498608.681000002, 115945.135 498610.240999999, 115940.152 498628.114999998, 115940.731 498628.277000002, 115938.938 498634.708, 115942.492 498635.699000002, 115943.707 498636.038000002, 115943.121 498638.138, 115939.468 498651.240000002, 115947.502 498653.48, 115948.62 498649.472000001, 115971.848 498655.947999998, 115970.802 498659.7, 115974.513 498660.734000002, 115977.641 498661.606, 115981.363 498662.644000003, 115982.773 498657.588))",301,Culturele werkplaats Zaandijk,Tuinstraat 27 A,1544 RT,Zaandijk
stembureau.7,7,"POLYGON ((112301.94 501976.64, 112295.59 501979.360000001, 112302.44 501995.420000001, 112304.69 501994.45, 112306.5 501998.71, 112307.31 501998.360000001, 112307.24 501998.210000001, 112307.82 501997.970000001, 112308.32 501999.190000001, 112299.7 502007.11, 112302.55 502010.150000003, 112299.45 502013.019999999, 112306.48 502020.620000001, 112311.66 502015.860000003, 112310.8 502014.91, 112313.63 502012.280000001, 112316.39 502015.27, 112331.12 502001.730000002, 112319.65 501989.28, 112310.76 501968.430000002, 112300.34 501972.910000002, 112301.94 501976.64))",508,Buurthuis De Pelikaan,Kervelstraat 185 A,1562 AJ ,Krommenie
stembureau.8,8,"POLYGON ((113014.837 497520.644000002, 113015.528 497521.598000001, 113017.794336 497524.083195, 113020.368282 497526.248207002, 113023.204981 497528.055305999, 113026.255 497529.473000001, 113027.61 497525.999000001, 113029.686 497526.647, 113022.054 497554.21, 113036.743 497558.266000003, 113044.426 497530.545000003, 113047.827 497531.771000002, 113048.664 497536.565, 113048.979 497536.510000002, 113048.929 497536.223000001, 113052.754 497535.87, 113056.471 497534.805000001, 113059.929 497533.191000001, 113062.941 497531.158, 113065.672 497528.614000002, 113067.528 497526.357000002, 113067.547 497526.445, 113067.861 497526.379000001, 113067.5 497524.667000002, 113067.224 497524.711000002, 113064.762 497512.673000003, 113065.066 497512.612, 113064.22 497508.457000001, 113063.906 497508.521000001, 113064.243 497510.188000004, 113060.568 497510.908000001, 113059.951 497509.833000002, 113060.089 497509.754, 113059.93 497509.476000002, 113052.119 497513.956000002, 113052.304 497514.276999998, 113052.46 497514.188999999, 113053.157 497515.402000001, 113050.672 497516.768, 113050.618 497516.673000002, 113050.339 497516.831, 113051.16 497518.264, 113050.340994 497518.496637003, 113049.497303 497518.610981001, 113048.645921 497518.604726, 113047.804 497518.478000003, 113047.937 497517.996, 113033.221 497513.903, 113031.623 497519.65, 113029.714 497519.120000001, 113027.434 497517.738000001, 113024.945 497515.857000001, 113023.794 497514.245000002, 113014.837 497520.644000002))",702,Wijksteunpunt Lambert Melisz,Lambert Meliszstraat 29 A,1551 CT,Westzaan
stembureau.9,9,"POLYGON ((114286.816 501041.814000003, 114286.413 501041.960000002, 114278.421 501044.859000002, 114249.155 501055.143999999, 114252.625 501065.018000001, 114252.682 501064.998000003, 114254.449 501069.942000001, 114256.553 501070.927, 114278.012 501063.444, 114278.807 501065.598, 114277.186 501068.948999999, 114280.097 501070.331000002, 114283.928 501081.305, 114296.788 501076.810000002, 114289.076 501054.693999997, 114287.31 501055.310000001, 114286.579 501053.213000003, 114290.387 501051.910000001, 114289.739 501050.017999999, 114286.816 501041.814000003))",405,obs De Pionier,Kerkstraat 52,1521 JP,Wormerveer
stembureau.10,10,"POLYGON ((116401.929 496776.441000003, 116429.489 496785.403000002, 116429.639 496784.942999999, 116428.788 496784.666000001, 116432.548 496773.124000003, 116453.095 496779.800000002, 116455.691 496771.843000001, 116445.29 496768.434000003, 116443.388 496767.814999999, 116445.09 496762.585000003, 116431.533 496758.172000003, 116429.831 496763.393000001, 116408.43 496756.454000001, 116401.929 496776.441000003))",119,Jozefparochie,Veldbloemenweg 2,1508 WV,Zaandam
stembureau.11,11,"POLYGON ((117214.54 496868.420000001, 117225.86 496872.133000001, 117227.493 496867.143000001, 117227.942 496865.770000003, 117229.743 496866.359000002, 117229.719 496866.435000003, 117230.061 496866.547000002, 117230.082 496866.480999999, 117233.276 496867.526000002, 117233.254 496867.592000001, 117233.543 496867.687, 117235.573 496868.351, 117233.056 496876.275000001, 117233.32 496876.360000001, 117233.484 496875.850000001, 117241.748 496878.544, 117241.568 496879.069000001, 117241.822 496879.156000003, 117242.004 496878.626999998, 117250.14 496881.303000003, 117249.977 496881.833000001, 117250.236 496881.913000001, 117250.399 496881.383000002, 117258.638 496884.083999998, 117258.486 496884.602000002, 117258.76 496884.682000001, 117261.33 496876.820000002, 117262.26 496873.970000002, 117267.59 496875.720000001, 117266.65 496878.560000001, 117269.686 496879.560000002, 117273.76 496867.110000002, 117231.71 496853.329999999, 117229.58 496859.819999999, 117218.9 496856.320000002, 117221.45 496848.52, 117228.54 496850.849999999, 117232.9 496837.539999999, 117215.94 496831.980000002, 117214.8 496835.470000001, 117208.77 496833.500000001, 117206.68 496839.900000001, 117209.08 496840.680000001, 117205.41 496851.899999999, 117215.57 496855.239999999, 117211.63 496867.210000001, 117205.15 496865.079999999, 117199.61 496882.043000001, 117212.02 496886.090000001, 117212.97 496883.080000003, 117210.05 496882.119999998, 117211.8 496876.780000001, 117214.72 496877.740000001, 117215.72 496874.720000003, 117212.79 496873.759999998, 117214.54 496868.420000001))",118,obs Kogerveld,Perzikkruidweg 4,1508 AW,Zaandam
stembureau.12,12,"POLYGON ((117573.7 497911.91, 117568.14 497941.24, 117568.79 497941.360000001, 117566.73 497952.250000001, 117580.27 497954.8, 117580.18 497955.3, 117584.03 497956.010000001, 117583.72 497957.68, 117588.09 497958.510000001, 117587.92 497959.400000002, 117608.71 497963.340000001, 117611.15 497950.570000001, 117609.32 497950.220000002, 117609.54 497949.040000004, 117610 497949.130000002, 117615.56 497919.83, 117609.66 497918.710000002, 117610.46 497914.490000001, 117580.35 497908.81, 117579.55 497913.020000004, 117573.7 497911.91))",121,Sporthal de Tref,Drielse Wetering 84,1509 KR,Zaandam
stembureau.13,13,"POLYGON ((114917.282 498715.483000002, 114916.416 498724.633000005, 114916.714 498724.660000001, 114916.757 498724.377000003, 114921.291 498725.652999998, 114913.523 498742.012999999, 114912.675 498743.817999999, 114908.706 498752.162, 114908.978 498752.280000001, 114909.514 498751.191000003, 114916.722 498753.176000001, 114916.47 498754.033000001, 114916.097 498753.955000003, 114916.034 498754.244999999, 114918.884 498754.868000001, 114921.679 498755.798000002, 114921.772 498755.488999999, 114921.4 498755.390000003, 114921.644 498754.503000002, 114934.941 498758.166000001, 114936.615 498752.142999999, 114937.481 498752.342000002, 114937.394 498752.721000001, 114937.699 498752.780000001, 114938.325 498749.920000002, 114939.25 498747.14, 114938.965 498747.045, 114938.842 498747.415, 114937.968 498747.199, 114941.321 498735.053000003, 114942.187 498735.27, 114942.095 498735.663000002, 114942.398 498735.730000001, 114943.067 498732.879000001, 114943.955 498730.077999999, 114943.669 498729.987000001, 114943.551 498730.359, 114942.681 498730.151000001, 114944.353 498724.097000001, 114931.072 498720.430000002, 114931.309 498719.551000001, 114931.66 498719.629000001, 114931.725 498719.336000002, 114928.872 498718.705000001, 114926.113 498717.799000001, 114926.026 498718.077000001, 114926.392 498718.208000001, 114926.123 498719.056000001, 114917.476 498716.669, 114917.585 498715.529000002, 114917.282 498715.483000002))",303,School het Schatrijk,Rooswijkplein 10,1544 VZ,Zaandijk
stembureau.14,14,"POLYGON ((117328.305 494449.809000001, 117327.322 494447.955000003, 117324.202 494449.607000002, 117325.185 494451.463000003, 117295.744 494467.065000001, 117301.015 494477.011000001, 117307.165 494473.751, 117308.856 494476.941000001, 117334.187 494463.535000002, 117334.327 494463.799999999, 117344.391 494458.459, 117338.222 494446.817, 117331.574 494450.34, 117330.638 494448.573000001, 117328.305 494449.809000001))",112,Herman Gorterschool,D Doniastraat 18,1501 TX,Zaandam
stembureau.15,15,"POLYGON ((117682.89 493660.714000003, 117673.655 493700.080000001, 117679.732 493701.52, 117681.321 493701.880000001, 117685.847 493682.621, 117690.066 493664.566000002, 117690.535 493662.547, 117682.89 493660.714000003))",102,Handboog Schutters Czaar Peter,Madagaskar 16,1505 VH,Zaandam
stembureau.16,16,"POLYGON ((118254.106 494927.066000003, 118255.384 494919.870000001, 118244.724 494917.956, 118244.559 494909.979000003, 118246.934 494896.623000002, 118239.72 494895.351000001, 118237.355 494908.688000003, 118234.421 494916.103000001, 118223.802 494914.196000001, 118222.492 494921.384999999, 118254.106 494927.066000003))",105,Zaans Natuur en Milieu Centrum,Thijssestraat 1,1504 LB,Zaandam
stembureau.17,17,"POLYGON ((116342.869 495145.274999999, 116342.603683 495143.295310002, 116341.661205 495141.534259001, 116340.161184 495140.215358003, 116338.294 495139.506000003, 116336.586787 495139.499083001, 116334.955006 495140.000997002, 116333.546796 495140.966177003, 116332.49 495142.307000002, 116332.122146 495143.111545002, 116331.885513 495143.963962004, 116331.786 495144.843, 116331.822694 495145.707794002, 116331.992382 495146.55657, 116332.291 495147.369000003, 116332.653356 495148.038990002, 116333.103478 495148.653465, 116333.633 495149.201000002, 116332.765 495151.035000002, 116330.794 495150.102000001, 116330.399 495150.929, 116328.756 495150.155000002, 116327.251 495153.335000003, 116328.894 495154.112000001, 116324.586 495163.245000001, 116323.568677 495163.29376, 116322.835928 495164.001151001, 116322.751384 495165.016127002, 116323.357 495165.835, 116320.786 495171.281, 116345.759 495183.074000001, 116345.823 495182.939000001, 116347.711 495183.835000003, 116347.664 495183.935000003, 116361.275 495190.396000001, 116375.729 495159.854000002, 116362.12 495153.407000002, 116362.047 495153.560000002, 116360.149 495152.660999998, 116364.56 495143.324000002, 116372.674 495126.149, 116367.505 495123.714000001, 116367.549 495123.187, 116367.434 495122.691000001, 116367.156 495122.279000002, 116366.763 495121.997000001, 116366.285 495121.852000001, 116365.8 495121.884000001, 116365.348 495122.074000002, 116364.961 495122.398000001, 116364.901 495122.490999998, 116356.627 495118.588000002, 116356.713 495118.382999999, 116356.33 495118.207, 116343.393 495145.524000001, 116342.869 495145.274999999))",125,Zorgcentrum Saenden,Nova Zembla 2,1506 VD,Zaandam
