FID,id,geom,stembureau,naam,adres,postcode,plaats
stembureau.18,18,"POLYGON ((114282.19 501197.080000003, 114281.34 501197.350000001, 114283.08 501201.91, 114288.22 501200.130000003, 114287.48 501198.079999999, 114293.31 501195.980000001, 114294.05 501198.020000002, 114294.3 501197.840000003, 114293.55 501195.829999999, 114301.91 501192.780000002, 114302.63 501194.810000003, 114308.14 501192.890000002, 114307.36 501190.859999999, 114315.89 501187.76, 114316.63 501189.810000002, 114316.85 501189.750000001, 114316.11 501187.710000001, 114321.88 501185.610000002, 114323.43 501189.880000001, 114324.351 501189.546, 114328 501199.580000001, 114333.48 501197.510000001, 114329.19 501185.783000001, 114329.88 501185.530000004, 114328.64 501182.130000002, 114327.946 501182.384000001, 114327.33 501180.7, 114327.14 501180.730000001, 114326.97 501180.059999999, 114325.86 501180.489999999, 114323.139 501173.06, 114322.857 501173.162000001, 114323.116 501173.869000003, 114316.229 501176.39, 114315.97 501175.684, 114315.688 501175.785999999, 114315.947 501176.494000001, 114308.917 501179.066, 114308.658 501178.360000002, 114308.376 501178.462000003, 114308.635 501179.169999999, 114301.608 501181.739000002, 114301.349 501181.033, 114301.067 501181.134999999, 114301.326 501181.843000002, 114294.297 501184.413000004, 114294.038 501183.707000002, 114293.756 501183.809000002, 114294.015 501184.516999998, 114286.983 501187.086000001, 114286.724 501186.380000001, 114286.442 501186.482000003, 114286.701 501187.190000001, 114279.815 501189.707000004, 114279.556 501189.001000003, 114279.274 501189.107000004, 114282.19 501197.080000003))",403,Pinkstergemeente Ruach,Noorderstraat 7,1521 KA,Wormerveer
stembureau.19,19,"POLYGON ((118108.668 495852.927000003, 118108.155 495856.174, 118107.279 495856.024, 118107.517 495854.685000001, 118104.721 495854.188000001, 118104.483 495855.526999999, 118098.526 495854.469, 118098.491 495854.666, 118096.03 495854.229000001, 118091.694 495878.64, 118085.759 495877.575000002, 118084.435 495884.953000001, 118090.139 495887.132, 118089.966 495888.085999999, 118108.028 495891.365999999, 118112.479 495866.636000002, 118112.381 495866.618000001, 118113.825 495858.682, 118114.278 495858.760000001, 118114.537 495857.264000001, 118115.048 495854.05, 118108.668 495852.927000003))",107,"School De Windroos, INGANG PINASSTRAAT",Galeistraat 2,1503 TJ,Zaandam
stembureau.20,20,"POLYGON ((116742.7 496039.137000003, 116743.575 496039.453000003, 116741.678 496044.709000001, 116744.827 496045.981000002, 116747.279 496039.497999999, 116747.47 496039.570000001, 116749.545 496034.104000004, 116746.228 496032.845000001, 116749.846 496023.312999998, 116749.267 496023.100000001, 116748.323 496025.659999999, 116745.044 496024.45, 116745.27 496023.838, 116744.676 496023.618, 116744.161 496025.015, 116717.858 496015.397999999, 116713.742 496026.656000001, 116718.463 496028.384999999, 116717.663 496030.499000002, 116721.674 496031.967, 116722.472 496029.853999999, 116731.696 496033.233, 116730.897 496035.346, 116734.991 496036.844999998, 116735.79 496034.733000001, 116741.362 496036.773999999, 116741.269 496037.017000002, 116742.238 496037.385, 116742.16 496037.591000001, 116743.136 496037.950000002, 116742.7 496039.137000003))",117,"School De Saenparel, INGANG SCHOOLPLEIN",Herderinstraat 1,1502 ND,Zaandam
stembureau.21,21,"POLYGON ((115837.553 496650.304, 115837.311 496655.245000002, 115832.565 496655.039, 115832.585 496654.95, 115832.297 496654.937999999, 115831.975 496661.718000003, 115832.262 496661.734000001, 115832.278 496661.454000003, 115833.016 496661.467000002, 115832.825 496666.464000001, 115847.767 496667.171, 115847.809 496667.171000002, 115847.873 496665.820000001, 115853.258 496666.056000002, 115853.186 496667.418, 115853.026 496671.006000003, 115854.352 496671.086000001, 115854.336 496671.445000002, 115855.896 496671.502000002, 115855.909 496671.131999998, 115859.152 496671.279000002, 115859.121 496671.655, 115860.683 496671.717000004, 115860.698 496671.348000001, 115863.94 496671.491000001, 115863.921 496671.853, 115865.49 496671.923000001, 115865.506 496671.554, 115866.825 496671.613000001, 115867.097 496665.429000001, 115867.846 496665.462, 115867.834 496665.741, 115868.124 496665.754000001, 115868.444 496658.987000001, 115868.516 496657.463000002, 115868.226 496657.449000001, 115868.212 496657.739000001, 115867.513 496657.705000001, 115867.905 496649.850999998, 115867.605 496649.837000001, 115867.602 496649.907000001, 115866.473 496649.858, 115866.486 496649.555000001, 115864.938 496649.482000001, 115864.92 496649.862000002, 115861.674 496649.708000001, 115861.692 496649.328, 115860.134 496649.254000001, 115860.116 496649.634000001, 115856.87 496649.480000002, 115856.888 496649.1, 115855.34 496649.027, 115855.322 496649.407, 115854.143 496649.35, 115854.405 496647.924000002, 115846.832 496646.532, 115845.868 496651.767000001, 115837.553 496650.304))",201,Kerk van de Nazarener,Zuideinde 22,1541 CD,Koog aan de Zaan
stembureau.22,22,"POLYGON ((111087.95 497851.59, 111082.95 497858.16, 111094.31 497866.830000001, 111093.06 497868.470000001, 111099.47 497873.38, 111105.76 497865.130000001, 111102.42 497862.61, 111106.14 497857.680000001, 111106.79 497858.19, 111119.05 497842.040000001, 111108.8 497834.250000001, 111103.95 497840.660000003, 111100.57 497838.03, 111095.52 497844.69, 111098.93 497847.28, 111096.46 497850.530000002, 111096.55 497850.590000001, 111092.92 497855.370000002, 111087.95 497851.59))",602,Gebouw Brandweer,Dorpsstraat 395,1566 BE,Assendelft
stembureau.23,23,"POLYGON ((112251.431 502547.320000002, 112251.759 502553.054999999, 112247.882 502553.276999999, 112248.337 502561.230000001, 112252.174 502561.011000002, 112252.617 502568.763, 112256.404 502568.547, 112256.471 502569.707000002, 112260.682 502569.458999999, 112260.849 502572.391999998, 112264.794 502569.357000001, 112264.715 502568.126, 112272.151 502567.646999999, 112271.619 502559.375000003, 112268.025 502559.605999999, 112267.293 502548.248000003, 112259.594 502548.744000004, 112258.711 502535.054000002, 112250.756 502535.509000001, 112251.431 502547.320000002))",506,Odd Fellowhuis,Wederikstraat 2,1562 RR,Krommenie
stembureau.24,24,"POLYGON ((117438.921 498232.580000002, 117463.937 498258.981000001, 117470.169 498253.064000001, 117474.378 498253.142, 117474.831 498242.857000002, 117469.099 498242.609, 117456.538 498229.407000001, 117456.677 498222.952, 117453.027 498222.873000001, 117431.885 498200.609000001, 117432.377 498181.306000002, 117437.312 498181.413000003, 117437.084 498191.791000003, 117443.078 498191.922000001, 117442.882 498200.070000002, 117446.944 498200.180000004, 117446.833 498204.729, 117451.371 498204.840000001, 117452.335 498206.285, 117452.289 498208.104000002, 117451.29 498208.079000002, 117451.282 498208.379000001, 117464.259 498208.705000001, 117464.474 498199.906, 117455.971 498199.707999999, 117456.066 498195.946000004, 117450.863 498195.822000003, 117451.081 498187.952, 117451.118 498185.832000001, 117449.434 498184.072, 117443.61 498183.934, 117443.665 498181.856, 117439.904 498177.903999998, 117437.695 498177.858000002, 117437.743 498175.555000002, 117437.813 498175.563000001, 117437.838 498175.35, 117429.557 498166.676000002, 117426.23 498169.852000002, 117424.793 498169.870999999, 117424.828 498168.412, 117397.92 498167.765, 117397.677 498177.867999999, 117393.177 498177.742, 117397.797 498182.625999999, 117397.862 498180.576000001, 117401.539 498179.624000002, 117407.448 498179.775000001, 117411.062 498180.862000001, 117414.736 498179.949, 117417.384 498180.047000003, 117416.787 498206.456999999, 117423.058 498213.138999999, 117421.583 498214.508000002, 117423.151 498216.165, 117424.936 498216.204000004, 117424.553 498232.267000003, 117438.921 498232.580000002))",120,Zorgcentrum Nieuw Groenland,Bolksbeek 151,1509 ED,Zaandam
stembureau.25,25,"POLYGON ((115696.523 494125.573999999, 115690.458 494124.162000002, 115690.858 494122.445000002, 115680.318 494119.991000002, 115680.304 494120.052000002, 115678.27 494119.583000001, 115678.506 494118.550000002, 115668.806 494116.291000001, 115666.978 494124.143, 115668.691 494124.541000001, 115665.519 494138.165000001, 115667.289 494138.577000002, 115666.833 494140.536000004, 115666.769 494140.521000002, 115665.942 494144.075999999, 115674.636 494146.100000002, 115674.41 494147.070000002, 115681.644 494148.754000002, 115681.866 494147.799000001, 115697.411 494151.418, 115698.366 494147.314999999, 115698.898 494147.439000003, 115700.482 494140.637, 115701.237 494140.812999998, 115702.823 494133.999000003, 115703.575 494134.174000002, 115705.258 494126.944999999, 115696.67 494124.945000001, 115696.523 494125.573999999))",128,School De Dijk-West,Adriaan Roggestraat 14,1507 BE,Zaandam
stembureau.26,26,"POLYGON ((115247.596 500112.757000001, 115251.622 500121.228000001, 115255.823 500118.875000003, 115257.032 500121.143000001, 115260.471 500119.310000001, 115271.274 500139.473, 115278.387 500135.641000001, 115281.457 500141.337000001, 115289.008 500137.295, 115264.129 500090.852000001, 115262.71 500091.603000002, 115252.271 500072.107, 115276.068 500059.485, 115276.673 500060.821000001, 115275.952 500063.130000002, 115278.384 500063.917, 115279.092 500061.728, 115280.697 500062.219000004, 115281.926 500061.559000001, 115297.182849642 500090.526108367, 115292.178 500093.146000002, 115292.41 500093.589999999, 115287.782 500096.023, 115287.549 500095.581, 115279.524 500099.789000002, 115283.073 500107.133999998, 115283.425 500106.963, 115284.417 500109.095999999, 115300.888 500100.463000001, 115300.521548253 500099.764439639, 115311.026 500094.254000001, 115280.047 500035.131000002, 115269.467 500040.665, 115272.65 500046.772000002, 115270.767 500047.781000001, 115270.237 500046.326000002, 115246.963 500058.819000003, 115244.926 500055.010000001, 115237.373 500059.056000002, 115239.409 500062.830000003, 115229.611 500068.066000001, 115236.417 500080.760000003, 115237.788 500079.937999999, 115253.63 500109.532, 115247.596 500112.757000001))",401,Evean Acht Staten,Warmoesstraat 48,1521 CK,Wormerveer
stembureau.27,27,"POLYGON ((115895.769608 498759.678112003, 115895.977657 498758.947143003, 115895.895904 498758.923873999, 115901.625551 498738.756410002, 115887.725631 498734.807395001, 115886.744526 498738.260731001, 115880.184148 498736.396905001, 115880.954821 498733.684256, 115876.768 498732.507000003, 115876.108 498734.815, 115873.83 498734.164, 115873.718 498734.556000001, 115872.909767 498734.324759999, 115868.155557 498751.028402002, 115868.064186 498751.002396002, 115867.856137 498751.733365002, 115878.191184 498754.680546002, 115878.136754 498754.867796, 115878.914195 498755.093784001, 115878.990956 498754.829715001, 115884.684839 498756.446850002, 115884.608447 498756.711027002, 115885.386594 498756.936043, 115885.440763 498756.748718002, 115895.769608 498759.678112003))",302,"Wijksteunpunt De Boed, INGANG W. DREESLAAN",Willem Dreeslaan 1,1544 SB,Zaandijk
stembureau.28,28,"POLYGON ((111593.612 498677.988000001, 111588.737 498683.382000002, 111605.785 498698.79, 111610.66 498693.397000002, 111593.612 498677.988000001))",603,Tennisvereniging Overdan,Norbertijnenstraat 9,1566 LK,Assendelft
stembureau.29,29,"POLYGON ((110790.04 497044.970000001, 110815.386 497055.349000002, 110814.628 497057.200000001, 110811.649 497055.98, 110809.633 497060.903000001, 110825.689 497067.477000001, 110827.705 497062.554000003, 110821.55 497060.034, 110822.308 497058.183, 110825.89 497059.65, 110832.275 497062.265000003, 110842.715 497047.352000003, 110838.14 497043.079999999, 110833.76 497038.990000002, 110830.313 497042.681000001, 110829.366 497042.124, 110828.366 497041.865, 110827.333 497041.893000004, 110826.348 497042.204000001, 110825.448 497042.801000001, 110824.529 497043.877000002, 110809.07 497037.580000001, 110807.04 497042.59, 110793.34 497036.989999999, 110790.04 497044.970000001))",601,Kantine vv Assendelft ,Dorpsstraat 253B,1566 BA,Assendelft
stembureau.30,30,"POLYGON ((116786.21 495298.156000003, 116789.619 495282.568000001, 116760.421 495276.188000001, 116760.634 495275.211, 116753.165 495273.586000003, 116752.943 495274.612, 116750.028 495273.966000001, 116749.857611 495274.758611003, 116749.517 495274.685000003, 116748.671 495279.875000002, 116751.588 495280.552000004, 116749.922 495288.253, 116784.057 495295.701000001, 116783.656 495297.588000002, 116786.21 495298.156000003))",114,Buurthuis De Kolk,Klampersstraat 1,1502 VP,Zaandam
stembureau.31,31,"POLYGON ((116688.096 495730.266999999, 116688.394 495726.582000001, 116686.381 495726.418000001, 116686.912 495718.481000004, 116673.096 495717.468999999, 116636.696 495714.821000001, 116634.908 495739.126999998, 116660.04 495740.882000001, 116659.879 495743.418000002, 116685.285 495745.070000003, 116684.95 495730.304000002, 116688.096 495730.266999999))",116,"Sporthal De Struijck, INGANG OOSTZIJDE",Oostzijde 132,1502 BL,Zaandam
stembureau.32,32,"POLYGON ((117803.779705 494854.690868998, 117804.519008 494854.796582003, 117803.991659 494856.029170003, 117803.977937 494856.128224001, 117807.567641 494856.625503003, 117808.551389 494856.752990003, 117809.188085 494856.843088, 117808.663844 494858.070141002, 117808.650412 494858.169235001, 117811.2808 494858.525768001, 117813.215043 494858.788128, 117813.867798 494858.877766002, 117813.342397 494860.108286999, 117813.32873 494860.207348002, 117816.728008 494860.676333002, 117817.89248 494860.826636, 117818.498774 494860.918486001, 117818.014787 494862.148852004, 117818.001072 494862.247907, 117821.171236 494862.686841001, 117822.570133 494862.864843003, 117823.184438 494862.960545999, 117822.692603 494864.185321001, 117822.679179 494864.284416001, 117825.48626 494864.664705003, 117827.25795 494864.881952001, 117828.278492 494865.017703002, 117828.353638 494865.027699, 117828.366824 494864.928572002, 117828.390281 494864.947982003, 117829.772513 494861.787945002, 117833.966778 494863.629058003, 117832.669547 494866.603476, 117834.56873 494867.430418, 117833.953822 494868.853228, 117837.366906 494870.328291002, 117837.339136 494870.392547, 117838.037385 494870.706786002, 117843.998887 494873.797044002, 117844.065618 494873.668312003, 117847.901895 494875.339108, 117848.071351 494874.944702002, 117848.002661 494874.914591001, 117848.514554 494873.746862, 117850.025732 494874.409312001, 117849.995621 494874.478002, 117850.380284 494874.646625002, 117852.122731 494870.671762002, 117853.221927 494871.153182999, 117855.989377 494864.834463002, 117844.821576 494859.958505999, 117845.715256 494857.931419004, 117854.390721 494861.713125001, 117854.475419 494861.766287001, 117867.797297 494840.541832, 117869.442704 494837.920364002, 117882.844129 494840.002269003, 117874.631155 494870.531237001, 117874.727722 494870.557216003, 117883.462014 494874.370361001, 117882.569607 494876.412216002, 117871.377797 494871.534613003, 117868.612308 494877.856669001, 117869.720885 494878.341599999, 117867.972194 494882.317282999, 117868.374955 494882.494436001, 117868.405152 494882.425784001, 117869.915507 494883.090109001, 117869.402165 494884.257201002, 117869.333512 494884.227005, 117869.151062 494884.617551001, 117872.997707 494886.280703001, 117872.950188 494886.412391001, 117879.27498 494888.694663002, 117879.97327 494889.000702001, 117880.001369 494888.936590002, 117883.416585 494890.423855001, 117884.033454 494889.012779001, 117885.944574 494889.836004001, 117887.211752 494886.935479002, 117888.99403 494887.714267001, 117891.381091 494882.251407999, 117895.997215 494871.681030001, 117892.830836 494870.298260001, 117892.821802 494870.294315, 117896.429035 494856.922410998, 117897.726085 494852.114287001, 117897.741747 494852.121115002, 117900.915259 494853.504696, 117901.011796 494853.530782002, 117901.38721 494852.141495, 117907.616832 494854.846222003, 117916.994332 494860.718625001, 117917.107703 494860.749218002, 117920.165498 494849.417680999, 117921.479973 494844.494504, 117920.054188 494844.093925999, 117911.172907 494841.717419998, 117918.241954 494815.406219001, 117920.26332 494816.283807999, 117927.519595 494816.278246001, 117932.672879 494804.458931001, 117932.067928 494804.155077, 117926.973506 494801.517641001, 117926.212127 494801.128622001, 117926.166628 494801.217672001, 117926.021978 494801.535463, 117923.325465 494800.384009001, 117922.655894 494801.952033002, 117920.356738 494800.970257001, 117920.988718 494799.476024999, 117921.034508 494799.387125001, 117914.721379 494796.13539, 117914.675589 494796.22429, 117914.501145 494796.623726001, 117911.999826 494795.522346003, 117912.030198 494795.453771003, 117910.736463 494794.880770001, 117910.560305 494795.278505002, 117910.62888 494795.308877002, 117910.110528 494796.479223999, 117908.60194 494795.824570002, 117908.631947 494795.755834002, 117908.244619 494795.586739002, 117906.563664 494799.452681001, 117905.917728 494799.170207, 117903.090768 494805.634669002, 117903.975446 494806.020121, 117903.096955 494808.026528001, 117902.31779 494807.686819, 117902.213653 494807.658480001, 117897.670239 494824.529533001, 117897.311387 494825.862059001, 117895.243288 494825.809971003, 117895.509787 494824.806211001, 117879.497244 494824.414793, 117876.804289 494828.714693003, 117876.781342 494828.751334, 117874.389461 494827.256912, 117874.442375 494827.172057999, 117873.146873 494826.364202999, 117873.093959 494826.449056, 117866.901817 494822.612866, 117881.840147 494798.760743001, 117881.755396 494798.707664001, 117880.98641 494798.371472002, 117881.857957 494796.369001002, 117882.719353 494796.745295001, 117885.536953 494790.286282999, 117884.89076 494790.004396001, 117886.58014 494786.126130002, 117886.185918 494785.954406004, 117886.155966 494786.023166002, 117884.643254 494785.364225999, 117885.150262 494784.193729001, 117885.21892 494784.223912001, 117885.39209 494783.829992, 117881.590296 494782.179990002, 117881.729919 494781.858150001, 117881.763955 494781.764119998, 117875.077676 494779.343892, 117875.04364 494779.437921002, 117875.03288 494779.462314, 117874.395872 494780.898363, 117872.110614 494779.884660001, 117872.792945 494778.345104004, 117870.759103 494777.458389001, 117870.103686 494777.172639002, 117870.248557 494776.834204002, 117870.283438 494776.740484001, 117870.15223 494776.691652002, 117869.474871 494776.439553, 117864.084201 494774.489101001, 117863.462547 494774.268371002, 117862.94771 494775.429486, 117862.874749 494775.594036001, 117862.397205 494775.203485002, 117858.838517 494772.291386002, 117858.774135 494772.378193, 117858.251856 494773.597756003, 117857.721077 494773.172699001, 117854.18498 494770.254198003, 117854.120361 494770.334893002, 117853.605062 494771.461044001, 117853.567111 494771.543984004, 117853.040222 494771.118689, 117849.500093 494768.217839001, 117849.436712 494768.295187999, 117848.940048 494769.429628, 117848.903197 494769.513799, 117848.381063 494769.090903, 117844.83727 494766.184761002, 117844.773859 494766.262085, 117844.255883 494767.394487002, 117844.219935 494767.473078, 117843.707188 494767.045123002, 117840.13663 494764.133154999, 117840.073428 494764.210651001, 117839.576559 494765.354188999, 117839.542341 494765.432941001, 117839.032949 494765.030228999, 117835.458568 494762.097703001, 117835.39514 494762.175014002, 117835.041163 494763.000592999, 117835.018531 494763.053376999, 117831.768266 494761.631165999, 117831.136894 494763.074077002, 117828.846558 494762.071900001, 117829.423273 494760.720041, 117829.470581 494760.631939001, 117823.187934 494757.258328001, 117823.140626 494757.346430003, 117822.96144 494757.798498999, 117818.880696 494755.994110001, 117818.706804 494756.387380002, 117818.770824 494756.415688, 117818.305762 494757.467456001, 117816.79213 494756.798171004, 117816.820438 494756.734150002, 117816.444692 494756.591279001, 117814.699433 494760.572365999, 117814.015349 494760.284217001, 117811.611014 494765.823080003, 117811.321135 494765.700045999, 117811.233731 494765.651460999, 117810.865748 494766.313466001, 117810.953152 494766.362051004, 117812.065605 494766.838021002, 117811.062528 494769.182447001, 117809.756647 494768.534315003, 117809.669302 494768.485624001, 117808.274571 494770.987581001, 117808.116325 494771.271452002, 117806.038144 494770.358331001, 117805.126992 494769.953239001, 117803.167375 494774.531534001, 117802.707824 494774.334525, 117801.829576 494773.938585, 117799.806753 494778.626987001, 117799.343971 494778.437689998, 117798.434654 494778.047858002, 117796.436025 494782.717329002, 117795.974932 494782.523955002, 117795.071469 494782.126507, 117793.083411 494786.778203998, 117792.610826 494786.614915003, 117791.705502 494786.236085003, 117789.703433 494790.904383999, 117789.245147 494790.704448001, 117788.326763 494790.320466002, 117786.329888 494795.002655, 117785.868872 494794.809097998, 117784.95816 494794.433140001, 117782.934221 494799.178575001, 117782.473291 494798.984813003, 117781.552469 494798.580480001, 117779.559199 494803.263389002, 117779.096491 494803.073913, 117778.192379 494802.704986999, 117776.198284 494807.367865001, 117775.735773 494807.177908002, 117774.825819 494806.798955997, 117772.824886 494811.458004002, 117772.364467 494811.263032001, 117771.46609 494810.870210999, 117769.419221 494815.511318001, 117769.336677 494815.698965001, 117768.245949 494815.227820001, 117766.743606 494818.667943002, 117766.687576 494818.796242, 117768.135523 494819.428578002, 117767.13299 494821.724216003, 117765.783588 494821.131092, 117765.695499 494821.083760002, 117765.608169 494821.246290003, 117762.319576 494827.366674003, 117762.407665 494827.414006, 117762.851309 494827.607030001, 117761.124405 494831.547338001, 117761.068208 494831.675564002, 117761.457465 494831.846161998, 117761.489578 494831.772890001, 117762.542862 494832.234509, 117761.88054 494833.745743001, 117761.807268 494833.713630002, 117761.642587 494834.109039, 117761.805627 494834.180496002, 117764.823137 494835.503013001, 117765.633704 494835.858269002, 117765.338227 494836.544868003, 117770.572662 494838.832398, 117770.875048 494838.964546, 117770.747096 494839.233165, 117770.698073 494839.320325001, 117771.272449 494839.643387002, 117771.359608 494839.692409999, 117771.408632 494839.605250999, 117771.903022 494838.505955999, 117774.228653 494839.551872, 117773.769271 494840.573326002, 117773.71911 494840.550767001, 117773.618948 494840.832525, 117773.570239 494840.91986, 117773.717096 494841.001765, 117774.293508 494841.323245002, 117776.433001 494842.488359, 117775.872714 494843.755672999, 117775.859199 494843.854756003, 117779.858079 494844.400232003, 117780.407 494844.495854001, 117781.087093 494844.566878, 117780.549724 494845.801768999, 117780.536161 494845.900844999, 117784.606438 494846.458066001, 117785.094309 494846.528067, 117785.7745 494846.612903, 117785.22233 494847.838899, 117785.208619 494847.937955, 117789.455042 494848.525752002, 117789.769582 494848.563963001, 117790.423799 494848.659954, 117789.890314 494849.881584, 117789.876866 494849.980676, 117794.14479 494850.559870001, 117794.444623 494850.607294001, 117795.103415 494850.690962001, 117794.568882 494851.926071004, 117794.555559 494852.025180001, 117798.154104 494852.508913001, 117799.113755 494852.643780003, 117799.765226 494852.728005, 117799.242359 494853.960278, 117799.228503 494854.059314003, 117802.559396 494854.525325004, 117803.779705 494854.690868998))",110,Evean Het Erasmushuis,Noorderven 79,1504 AL,Zaandam
stembureau.33,33,"POLYGON ((115056.219 496810.440000001, 115056.202 496789.410000001, 115051.65 496789.440000002, 115051.65 496787.920000002, 115031.49 496787.94, 115031.51 496795.13, 115017.138 496795.107000002, 115017.14 496810.180000001, 115018.67 496810.18, 115018.68 496814.330000001, 115017.15 496814.340000001, 115017.21 496834.18, 115039.41 496834.139999998, 115039.39 496822.170000001, 115053.654 496822.162000002, 115053.54 496810.459999998, 115056.219 496810.440000001))",203,Wijkcentrum De Vuister,Molenwerf 44,1541 WR,Koog aan de Zaan
